Object,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Time Stamp
RE,0.3805588,0.9846207,-0.263414,0.1719427,0.8892657,0.031818,0.4226463,1.416161
RE,0.3805588,0.9846207,-0.263414,0.1719427,0.8892657,0.031818,0.4226463,1.416161
RE,0.3801795,0.9843788,-0.2642767,0.1717535,0.8887326,0.03119655,0.4238891,1.427294
RE,0.3801795,0.9843788,-0.2642767,0.1717535,0.8887326,0.03119655,0.4238891,1.427294
RE,0.3798975,0.9840404,-0.2649248,0.1719857,0.8880661,0.03060486,0.4252329,1.438379
RE,0.3798975,0.9840404,-0.2649248,0.1719857,0.8880661,0.03060486,0.4252329,1.438379
RE,0.3795321,0.9839392,-0.2655695,0.1718988,0.8874191,0.03045452,0.4266272,1.449464
RE,0.3795321,0.9839392,-0.2655695,0.1718988,0.8874191,0.03045452,0.4266272,1.449464
RE,0.3792981,0.9837921,-0.2664108,0.1721655,0.8864903,0.0301071,0.4284712,1.460745
RE,0.3792981,0.9837921,-0.2664108,0.1721655,0.8864903,0.0301071,0.4284712,1.460745
RE,0.3793448,0.9837611,-0.2674165,0.1722737,0.8857595,0.02934236,0.4299895,1.471735
RE,0.3793448,0.9837611,-0.2674165,0.1722737,0.8857595,0.02934236,0.4299895,1.471735
RE,0.3791679,0.983717,-0.2683292,0.1725711,0.8852509,0.02885614,0.4309495,1.482833
RE,0.3791679,0.983717,-0.2683292,0.1725711,0.8852509,0.02885614,0.4309495,1.482833
RE,0.379131,0.9835835,-0.2690769,0.1727031,0.8846762,0.02877314,0.4320807,1.493924
RE,0.379131,0.9835835,-0.2690769,0.1727031,0.8846762,0.02877314,0.4320807,1.493924
RE,0.3790751,0.9835668,-0.2699507,0.1727441,0.8841201,0.0288804,0.433194,1.505112
RE,0.3790751,0.9835668,-0.2699507,0.1727441,0.8841201,0.0288804,0.433194,1.505112
RE,0.3788955,0.9836338,-0.270577,0.1728291,0.8836118,0.02894354,0.4341919,1.516146
RE,0.3788955,0.9836338,-0.270577,0.1728291,0.8836118,0.02894354,0.4341919,1.516146
RE,0.378942,0.9835558,-0.2714329,0.1728948,0.8830931,0.02868938,0.4352368,1.527238
RE,0.378942,0.9835558,-0.2714329,0.1728948,0.8830931,0.02868938,0.4352368,1.527238
RE,0.3792342,0.9833082,-0.2721626,0.1728777,0.8825979,0.02852295,0.4362576,1.538338
RE,0.3792342,0.9833082,-0.2721626,0.1728777,0.8825979,0.02852295,0.4362576,1.538338
RE,0.3794216,0.9832364,-0.2729302,0.1729076,0.8821727,0.02820511,0.4371256,1.549453
RE,0.3794216,0.9832364,-0.2729302,0.1729076,0.8821727,0.02820511,0.4371256,1.549453
RE,0.3797753,0.9830886,-0.2736571,0.1728352,0.881869,0.02784622,0.4377895,1.560526
RE,0.3797753,0.9830886,-0.2736571,0.1728352,0.881869,0.02784622,0.4377895,1.560526
RE,0.3801442,0.9829006,-0.2742169,0.1723921,0.8814121,0.02773361,0.43889,1.571642
RE,0.3801442,0.9829006,-0.2742169,0.1723921,0.8814121,0.02773361,0.43889,1.571642
